Furnishing,facing,Bathroom,Balcony,Amount_numeric,BHK,Carpet_Area_sqft,Current_Floor,Total_Floors
Unfurnished,East,3.0,3.0,27900000.0,3.0,1260.0,11.0,32.0
Semi-Furnished,North - East,2.0,1.0,7100000.0,2.0,630.0,21.0,24.0
Semi-Furnished,East,3.0,2.0,16500000.0,3.0,900.0,8.0,20.0
Semi-Furnished,East,2.0,1.0,13000000.0,1.0,455.0,16.0,30.0
Furnished,East,2.0,2.0,16100000.000000002,2.0,559.0,26.0,30.0
Unfurnished,East,5.0,1.0,70400000.0,4.0,2200.0,7.0,26.0
Unfurnished,East,1.0,2.0,1950000.0,1.0,280.0,1.0,5.0
Semi-Furnished,East,1.0,2.0,3200000.0,1.0,375.0,3.0,4.0
Furnished,East,2.0,2.0,5000000.0,1.0,,5.0,6.0
Semi-Furnished,East,2.0,2.0,10000000.0,3.0,,3.0,7.0
Unfurnished,East,2.0,2.0,18500000.0,2.0,758.0,9.0,29.0
Semi-Furnished,North,1.0,2.0,5200000.0,1.0,540.0,7.0,12.0
Semi-Furnished,West,1.0,2.0,3800000.0,1.0,290.0,3.0,4.0
Unfurnished,East,2.0,2.0,18000000.0,2.0,758.0,11.0,29.0
Semi-Furnished,East,1.0,2.0,6100000.0,1.0,,8.0,15.0
Unfurnished,East,1.0,2.0,6200000.0,1.0,,5.0,14.0
Unfurnished,East,2.0,2.0,6200000.0,1.0,,12.0,25.0
Unfurnished,East,2.0,1.0,10800000.0,2.0,640.0,16.0,32.0
Unfurnished,East,2.0,2.0,9500000.0,2.0,600.0,10.0,18.0
Unfurnished,East,2.0,2.0,9800000.0,2.0,710.0,1.0,4.0
Semi-Furnished,East,1.0,2.0,2300000.0,1.0,,4.0,4.0
Unfurnished,East,2.0,2.0,9800000.0,3.0,820.0,2.0,6.0
Furnished,East,2.0,1.0,6800000.0,3.0,679.0,7.0,18.0
Unfurnished,East,2.0,2.0,4200000.0,1.0,441.0,5.0,18.0
Furnished,East,1.0,1.0,5300000.0,1.0,475.0,5.0,13.0
Unfurnished,East,2.0,1.0,11500000.0,2.0,701.0,14.0,30.0
Semi-Furnished,East,1.0,2.0,5500000.0,1.0,330.0,1.0,6.0
Unfurnished,East,3.0,1.0,7400000.0,3.0,838.0,4.0,18.0
Unfurnished,East,1.0,2.0,4000000.0,1.0,,7.0,14.0
Semi-Furnished,South - East,2.0,2.0,12000000.0,3.0,770.0,9.0,10.0
Semi-Furnished,East,2.0,3.0,6500000.0,2.0,680.0,7.0,7.0
Furnished,East,2.0,2.0,22500000.0,2.0,,9.0,10.0
